Column1,Column2
Classic song 'Wishing We Last Forever' at Mid-Autumn Festival Gala,"The Mid-Autumn Festival falls on the 15th day of the eighth lunar month, which this year is September 21. China Media Group's (CMG) 2021 Mid-Autumn Festival Gala was broadcast overseas for the first time on Tuesday night.

A ""China-chic-style"" music band, Zide Guqin Studio 每 which has become a hit on social media for playing traditional Chinese musical instruments in a new way 每 performed the classic song ""Wishing We Last Forever"" with actors Liu Shishi and Jing Boran."
Chinese Olympic athletes perform 'Running to You with All My Heart',"The Mid-Autumn Festival falls on the 15th day of the eighth lunar month, which this year is September 21. China Media Group's (CMG) 2021 Mid-Autumn Festival Gala was broadcast overseas for the first time on Tuesday night.



Besides singers and actors, the gala also featured some special guests, such as 2020 Tokyo Olympic champions in women's quadruple sculls rowing Chen Yunxia, Zhang Ling, Lv Yang, and Cui Xiaotong, and 2014 Sochi Winter Olympics speed skating champion Zhang Hong, who performed the song ""Running to You with All My Heart."""
Live: Join a bonfire party in SW China's Yunnan with Media Challengers,"Challenge accepted! The Media Challenger Yunnan team has planned a wonderful bonfire party that explores local culture. Dressed in Yi costumes, they will dance, sing and play traditional Chinese instruments such as the Sanxian with local villagers. Let's join in and feel the cultural collision from various places."
Live: Lava spews from volcano on Spain's La Palma Island,"Lava from a volcanic eruption flows on the island of La Palma in the Canaries, Spain. Thick clouds of smoke billow from the hillside of the volcano that has forced the evacuation of about 5,000 people, according to local officials."
Live: Presser on procuratorial organ's contribution to 'Xiaokang',"China's State Council Information Office holds a press conference on the contribution of procuratorial organs to building a moderately prosperous society in all respects. Tong Jianming, deputy procurator general in charge of routine work of the Supreme People's Procuratorate, attends the conference and answers questions."
"Live: Explore Chinese sturgeon: 'Living fish fossil,' 'panda in water'","Chinese sturgeon, a rare fish that dates back to the dinosaurs, is regarded as a ""living fish fossil"" or ""panda in water."" How are the Chinese sturgeon fed and bred? How are they monitored after release to the Yangtze River? Visit the Chinese Sturgeon Research Institute in Hubei Province with CGTN's Jonathan Betz and find out the answers."
Posters of Beijing 2022 Olympic and Paralympic Games unveiled,"The posters for the Beijing 2022 Olympic and Paralympic Games were released on Wednesday.

A total of three sets of official posters and 11 promotional pieces featuring elements of winter sports and Chinese culture highlight the Beijing 2022 motto ""Together for a Shared Future."""
Chinese climber Niu Di betters women's speed climbing world record,"Chinese climber Niu Di won gold in the women's speed climbing final while Pan Yufei grabbed gold in the men's combined Lead and Boulder event at China's 14th National Games in Xi'an on Tuesday.

Niu's result of 6.74 seconds surpassed the current world record of 6.84 seconds set by Poland's Aleksandra Miroslaw at the Tokyo Olympics.

Niu, who celebrated her 25th birthday on Wednesday, ranked first in the qualification round with a national record of 6.98 seconds. She admitted that the final had pushed her to the limit as she felt a lot of pressure from rival Deng Lijuan, who finished in 6.92 seconds for the silver medal.

""My mind completely went blank and all I could rely on was my muscle memory. The National Games are far more difficult than competing abroad, because the fastest two female climbers are in China,"" said Niu, adding that she hoped to bring the record to China upon returning to the international stage.

Trained as a speed-specialized climber, Niu didn't compete in Tokyo where the three disciplines of speed, boulder and lead were combined into one event. She ranked fifth in the 2019 International Federation of Sport Climbing (IFSC) Climbing World Cup.

No Chinese climber competed at the 2021 IFSC Climbing World Championships in Moscow this September because of COVID-19-related restrictions."
Messi to miss PSG trip to Metz due to bruised knee,"Lionel Messi of PSG looks on during the Ligue 1 match between PSG and Olympique Lyon at the Parc des Princes in Paris, France, September 19, 2021. /CFP

Lionel Messi of PSG looks on during the Ligue 1 match between PSG and Olympique Lyon at the Parc des Princes in Paris, France, September 19, 2021. /CFP

Lionel Messi is suffering from bone bruising, the Ligue 1 club said on Tuesday, and will miss Paris St Germain's trip to Metz on Wednesday.

""Lionel Messi, following the knock received on his left knee, has undergone an MRI this morning which confirms the signs of bone contusion, a new assessment will be made in 48 hours,"" PSG said in a statement.

The Argentine forward, who joined the French club from Barcelona on a two-year contract during the close season, was replaced with 14 minutes left in PSG's 2-1 home victory over Olympique Lyonnais on September 19."
Family of finless porpoises swims in central China's Hubei,"On September 20, 2021, a family of Yangtze finless porpoises was spotted swimming in the river near the Gezhouba Dam in Yichang City, central China's Hubei Province. This subspecies can only be found in the Yangtze River, which flows through areas including Hubei, Jiangsu, Jiangxi and Hunan provinces. Facing the threat of extinction, it has been placed under first-class state protection in China and is listed as ""Critically Endangered"" on the IUCN Red List. Thanks to the efforts of many authorities, the population decline of the species has been controlled in recent years."
World Rhino Day: Keep the giants alive,"Our planet is home to five rhino species 每 the black rhino and the white rhino, which live in Africa, and the Sumatran, Javan and Indian rhinos, which inhabit Asia's tropical forests and swamps. World Rhino Day is celebrated on September 22 every year to call for public attention to this giant endangered creature.

Talking about rhinos, many people think of their horns. Their name ""rhinoceros"" even comes from Ancient Greek words, meaning ""nose horn."" Sadly, their iconic horns bring harm to them by making them the target of poachers. Rhino horns are either made into luxurious decorations or used in traditional medicine, even though they are made of the same substance found in our fingernails.

It's estimated that there are now less than 29,000 rhinos left in the wild, compared to 500,000 at the beginning of the 20th century, according to Save the Rhino International. The population of Sumatran rhino and Javan rhino are even both below 80.

More about rhinos:

Ten things you might not know about rhinos

What will be the fate of Asian rhinos?

Keep the five rhino species alive"
Hulunbuir series | Episode 1: Hulunbuir Grassland,"About 1,500 years ago, nomadic people living in north China created the ""Song of Chile,"" vividly portraying the view of the vast grassland with cattle grazing on lush pastures.

Being recognized as one of the world's four largest grasslands, Hulunbuir boasts the largest and most complete ecosystem in China. As the ancient poem goes, ""Under the vast sky is the boundless wild. The wind bends the grasses low, where cows and sheep show."""
COVID: U.S. to relax travel rules for jabbed passengers from UK and EU,"FILE PIC: Vaccinated passengers will be able to enter the U.S. from the UK and EU from November onwards, ending almost two years of coronavirus travel restrictions. /Xinhua

FILE PIC: Vaccinated passengers will be able to enter the U.S. from the UK and EU from November onwards, ending almost two years of coronavirus travel restrictions. /Xinhua

Vaccinated passengers will be able to enter the U.S. from the UK and EU from November onwards, ending almost two years of coronavirus travel restrictions.

The new rules would be part of broader policy changes for international travel and will apply to fully vaccinated people - meaning those who have received two doses of a COVID19

It will end an 18-month patchwork of travel restrictions imposed by former president Donald Trump at the start of the pandemic.

Transport secretary Grant Shapps welcomed the change, tweeting: ""Brilliant collaboration through our UK/U.S. working group has led to Transatlantic flights resuming from Nov for double jabbed! Great outcome.""

All foreign travelers will need to demonstrate proof of vaccination before boarding, as well as proof of a negative COVID-19 test taken within three days of the flight.

(With input from agencies)"
"Indonesia extends public activity restrictions in Java, Bali to Oct. 4","Indonesia has extended the public activity restriction policy, locally known as PPKM, in Java and Bali, which was previously set to end on Monday, until Oct. 4, a senior minister said on Monday. /Xinhua

Indonesia has extended the public activity restriction policy, locally known as PPKM, in Java and Bali, which was previously set to end on Monday, until Oct. 4, a senior minister said on Monday. /Xinhua

Indonesia has extended the public activity restriction policy, locally known as PPKM, in Java and Bali, which was previously set to end on Monday, until Oct. 4, a senior minister said on Monday.

""The PPKM is extended for two more weeks in Java and Bali,"" Coordinating Minister for Maritime and Investment affairs Luhut Binsar Pandjaitan told a virtual press conference.

The Southeast Asian country, which has just emerged from the peak of the COVID-19 second wave triggered by the more contagious Delta variant, now has a positivity rate of less than 2 percent.

The authorities have asked people not to be euphoric and remain cautious as the risk of transmission is still high.

The Indonesian government continues to conduct weekly evaluations to anticipate any rapid changes, Pandjaitan added."
China saw 1.87 billion domestic trips made in first half of 2021,"China has seen a total of 1.87 billion domestic trips taken in the first half of 2021, according to the Ministry of Culture and Tourism Saturday.

The total revenue of the country's domestic tourism market has exceeded 1.6 trillion yuan ($248 billion), said Wang Xiaofeng, an official with the ministry, at a press conference.

With the tourism market revitalizing after the 2021 Spring Festival, both numbers have grown back to about 60 percent of the level in the same period in 2019, said Wang.

(Cover image: Travelers at the Beijing Capital Airport. /CFP"
China's bright prospects in Xi Jinping's quotes,"As China celebrates Mid-Autumn Festival, a festival of Chinese culture and traditions, take a look at some classic poems that Chinese President Xi Jinping has quoted on various occasions to express his aspirations for the Chinese people and the nation."
Peking Opera's 'Great Beauty' to celebrate Mid-Autumn Festival,"An audio-visual feast was held in Xichang in southwest China's Sichuan Province on Tuesday night to celebrate the Mid-Autumn Festival, which fell this year on September 21.

Celebrated Peking Opera performers Wang Peiyu and Zheng Qiyuan sang the opera ""Great Beauty"" together as a part of the celebration."
Ivermectin overdoses,"The Rocky Mountain Poison Center gets 100,000 calls a year from people reporting that they, their family members or pets have ingested something or been exposed to or bitten by something potentially harmful.

""The concern would be like I said would be plastic, if he ingested any of the plastic.""

This year, they＊ve received 19 calls from people experiencing reactions to the drug ivermectin.

""They say I read about it online and I think this will prevent COVID or I have COVID and I＊m trying to treat myself so I don＊t have to go to the hospital.""

Ivermectin is traditionally used to treat worms in horses and some parasitic infections in humans. But many have turned to it as an alternative to COVID-19 vaccines. Poison Center director Shireen Banerji says 11 of the 19 Colorado cases came from intentional ingestion and that symptoms can be quite serious.

""It can affect your CNS, your central nervous system, and your brain, it can cause tremors, hallucinations, even seizures.""

""I'm very concerned people are self-treating without any kind of medical guidance and that could lead to trouble.""

""It's an amazing drug for river blindness.""

David Kroll at the C.U. Anschutz School of Pharmacy says while ivermectin has done wonders for people in Africa and is being studied in relation to COVID-19, there's no science showing it could be helpful during this pandemic.

""I'm not surprised at all. It＊s very easy for misinformation to spread amongst a population that already has a mistrust of experts.""

""Kroll endorses empowering patients to be partners in their own health care. He says patients have helped drive advances in areas like HIV care in the past.""

But as with the malaria drug hydroxychloroquine, he says organizations like this one, powered by social media, have led the vaccine skeptical astray.

""People are tapping into the sort of anti-pharmaceutical company mentality where of course they want you to get the vaccine because they're making billions of dollars.""

The Front Line COVID-19 Critical Care Alliance did not respond to a request for comment.

""I think the misinformation should be corrected and I think providers who are being asked by their patients for prescriptions need to really think hard, is this safe, is this effective, is this going to help my patient?""

Livestock suppliers have also seen ivermectin fly off the shelves. Large doses fit for horses have led to some human overdoses.

""It makes me worry that the resolution of the pandemic is going to be prolonged by people pursuing incompletely tested hypotheses.""

He says vaccines remain the best COVID-fighters out there. But the calls keep coming."
Colombia militarizes local police forces,"The Colombian military will be reinforcing police forces in at least five Colombian cities to help combat crime.

The measure started in the capital."
Activists protest construction of new gas station,"There was a time when residents in California say they didn't worry about climate change.

But wildfires, high temperatures and water shortages have changed the way people think.

Some activists on the West Coast have their sights set on stemming another piece of the environmental puzzle 每 gas stations."
Afghan Voices: The dream of an Afghan farmer,"Mohammad Ashraf is a farmer living in Kabul. Since Taliban entered the city, his life and work has changed significantly. He sold the vegetables he grew for buying other food. However, it's still hard for him due to the ever-increasing prices. Talking about his hope for the future, he said, ""We will face whatever is written in our destiny. I want Afghans to get united to build this country."""
"Twenty years after 9/11, it still hurts","On September 11, 2001, a terrorist attack occurred at the World Trade Center in New York, resulting in at least 2,990 people dead or missing. Twenty years later, the American people remain scarred. CGTN Stringer interviewed William Rodriguez, a former janitor of the World Trade Center, and Terry Horniacek, a coordinator of United Flight 93, asking them to describe from their perspectives what happened and about the trauma caused by 9/11."
Taliban soldier hopes Afghanistan will shine in the world,"Speaking to CGTN Global Stringer, a Taliban soldier talked about his expectations for the country."
CTG holds open house event in Peru,"China Three Gorges Corporation (CTG) recently held an online open house event at the San Gaban III Hydroelectric Power Plant in Peru, showcasing its efforts to protect the environment and promote local development during construction.

The power plant has a total installed capacity of 209 megawatts and estimated annual power output of over 1.25 billion kilowatt-hours, which can reduce 338,000 metric tonnes of greenhouse gases.

Once fully operational, the plant is expected to provide clean energy for about 35,000 local residents in southern Peru and boost regional socioeconomic development."
Full moon seen on Tuesday morning across China,"Did you see the full moon?

This year's ""roundest and fullest"" moon of the Mid-Autumn Festival made an appearance at 7:55 a.m. Beijing Time on Tuesday. Here we present some of the pictures taken by Chinese photographers in the wee hours of the day and the preceding night.

Per Chinese folklore, the moon sometimes appears the fullest on the 16th of the lunar month, instead of the 15th. However, Chinese astronomers have agreed that for the years 2021 to 2023, the moon will be full on the date expected and not after."
Chinese celebrate Mid-Autumn Festival across the country,"The annual Mid-Autumn Festival falls on September 21 this year. This traditional festival originated from the Zhou Dynasty (1045-221 BC) and has been celebrated since the early Tang Dynasty (618-907).

The Chinese believe the moon is at its brightest and fullest size during the festival. Lanterns of varying shapes and sizes are displayed at night, and family members reunite to appreciate the moon and enjoy moon cakes."
Smell osmanthus scent at Beijing's Summer Palace,"Relax and smell osmanthus scent at Beijing's Summer Palace! Osmanthus flowers at Summer Palace in Beijing are in full bloom as the Mid-Autumn Festival is coming around, falling on September 21 this year. /CFP

Relax and smell osmanthus scent at Beijing's Summer Palace! Osmanthus flowers at Summer Palace in Beijing are in full bloom as the Mid-Autumn Festival is coming around, falling on September 21 this year. /CFP"
Universal Studios opens in Beijing,"Thousands of people in China weathered the rain and flocked to the official opening of Universal Studios in Beijing on Monday.

Guests were dressed for rain, with many also ready for admission into Hogwarts, playing along with the Harry Potter theme found throughout the park.

Check out The China Report, our new weekly newsletter. Subscribe here!"
A story of struggle and success: China's 832 poorest counties,
PKX TAKES OFF,"Model SD / HD

China will become the world's largest aviation market in the mid-2020s, with 1.6 billion passenger trips set to be taken annually by 2037.

The newly launched Beijing Daxing International Airport is expected to handle 45 million passengers annually by 2021 and 72 million by 2025.

More than just an airport, Beijing Daxing International Airport will be a key travel hub, connecting road and high-speed rail network, as well as to meet the capital's rising demand for air travel and help balance development in Beijing's southern and northern areas.

Click on the ""terminal building"" to find out more"
CGTN Panda Knows All,Do you know the stories about the Two Sessions?
She Power,
2020 new words of the year,2020 new words of the year
Fantastic animals and insects,
The 24 solar terms: Dividing time with Panda Mo,
Panda Mo's Delicacy Directory: Tibetan Cuisine,
Mo's delicacy directory: Xinjiang cuisine,"Tawa Kawap. / CGTN Tawa Kawap. / CGTN

As the saying goes, ""One can go without eating meat for three days, but can't live one day without naan."" Naan, a traditional staple food, shares a long history with people of all ethnicities in northwest China's Xinjiang Uygur Autonomous Region. Xinjiang naan is made of fermented dough. It is baked in a clay oven. The golden crispy crust is naan's distinctive feature. The round-shaped naan has always been a symbol of happiness and fortune. When eating Tawa Kawap, people split the naan and share with each other as sharing blessings.

Roasted Stuffed Bun. / CGTN Roasted Stuffed Bun. / CGTN

Unlike most places in China, people living in Xinjiang prefer to roast and not steam stuffed buns. This type of bun looks like a small, golden, square-shaped pillow, and is infused with the rich scent of mutton. Roasted stuffed buns are a part of the traditional nomadic lifestyle. The herdsman of Xinjiang graze cattle and sheep all throughout the year, and they only take simple tools and ingredients with them, such as a knife and flour. During lunch time, herdsmen would chop up mutton and onion for making buns, and then cook them over a fire. After settling down in cities, they started using clay ovens in order to prevent their food from carbon.

Hand-Grasped Mutton. /CGTN Hand-Grasped Mutton. /CGTN

Boiled mutton, or hand-grasped mutton, is a traditional dish of ethnic groups living in northwestern China, such as Mongolian, Tibetan, Hui and Uygur. The Uygur cooking method is the most interesting of them all. According to an ancient recipe, an entire lamb is cut into 12 pieces and then boiled with simple spices. As a chunk of meat is too big to be held by chopsticks, hands are used when eating, and hence the name.

Tonur Kawap. /CGTN Tonur Kawap. /CGTN

As a paradise for meat lovers, Xinjiang is best known for lamb kebabs, but for locals, there is nothing like grabbing some appetizing, traditional Uygur grilled lamb, also known as Tonur Kawap. Tonur Kawap has a history of over 500 years. Chefs usually hang lamb chops with iron hooks, and position them close to the inner wall of a heated clay pit. Compared with kebabs, Tonur Kawap grilled by residual heat retains more moisture, and is thus more tender with a richer taste.

Saut谷 Spicy Chicken. /CGTN Saut谷 Spicy Chicken. /CGTN

You may know the saut谷 spicy chicken, also known as Xinjiang big plate chicken, as a famous dish that has spread all over the country. But this recipe was created less than 20 years ago by chef Li Shilin, whose specialty is the saut谷 spicy chicken. Back then, while his customers enjoyed the taste of the dish, they thought the portion was too small. This is why Li decided to fry a whole chicken one day, and presented it on a gigantic plate for his guests. After finishing the tantalizing dish, the customers heartily commended that the dish was very satisfying. Since then, orders of ""a big plate of chicken"" have been pouring in.

Uygur Lamb Pilaf. /CGTN Uygur Lamb Pilaf. /CGTN

Mindful eating is one of the most popular topics of today. But a thousand years ago, Xinjiang forefathers already had their own recipe for healthy eating 每 the pilaf. According to local legend, a doctor named Abu was in poor health, and medication did not help. Later on, Abu came up with a nutritional way to stew rice, which tasted and smelled good. He had a small bowl once in the morning and once in the evening, and his body gradually regained nourishment. He later passed on the ""healing recipe"" to villagers, and that eventually became the Lamb Pilaf, one of the most common dishes in Xinjiang.

Xinjiang Hand-pulled Noodles. /CGTN Xinjiang Hand-pulled Noodles. /CGTN

When the art of hand-pulled noodles was introduced from other parts of northwest China into Xinjiang, the locals combined it with their meat-based diet. Later the hybrid Xinjiang hand-pulled noodles dish was created. Homemade noodles have been a common staple food in northwest China for generations. As the residents of the Hexi Corridor gradually migrated up north, noodles were then introduced to Xinjiang. Local residents stir fry mutton with vegetables, and then mix it with boiled noodles. Nowadays, Xinjiang hand-pulled noodles, also known as Latiaozi, have become a part of local daily cuisine.

Xinjiang Fried Rice Noodles. /CGTN Xinjiang Fried Rice Noodles. /CGTN

For the young generation of Xinjiang, the answer to ""What should I eat today?"" and ""Let's grab something to eat"" is always that popular dish, Xinjiang Fried Rice Noodles. Xinjiang Fried Rice Noodles came from southern China, and then introduced to Xinjiang in 1982. After the recipe was modified by locals, half noodles and half spicy sauce became a unique feature of this dish. Therefore, anyone who has eaten it should not forget the fiery taste. There is a familiar story. A chief from Xinjiang traveled to southwestern Chengdu, a city known for its spicy food, to sell fried rice noodles. However, his business soon fell apart because of the local overly spicy noodles.

Rose Willow Grilled Fish. /CGTN Rose Willow Grilled Fish. /CGTN

Tarim River is the mother river of southern Xinjiang. As the river flows through the desert, it not only waters millions of wild poplar forests, but also provides resources for people living by the sides of the river. For example, fish from the river is deeply loved by the local people. Rose Willow Grilled Fish is the most primitive food along the river. Villagers wash the fish they catch, break off branches of rose willow by the riverside, and then use them to open up the fish. People erect the willow sticks on the ground and roast them slowly over a fire. During grilling, the fresh red willow secretes juices. Eventually, the wood fragrance combines with the fish to create a memorable taste.

Xinjiang Nut Cake. / CGTN Xinjiang Nut Cake. / CGTN

Xinjiang Nut Cake, also known as Qiegao, is a ubiquitous snack in the wide streets and narrow lanes of Xinjiang. The Nut Cake has a long history. When trade along the Silk Road reached its height, Xinjiang was an important transportation center with food supplies. Nuts were rich in nutrients and easy to preserve. Therefore, Xinjiang Nut Cake became a basic necessity for travelling salesmen."
Xinjiang in colors,"Xinjiang is the largest of all provinces and regions in China with a long borderline. In the pictures above, this region of diversity and inclusiveness is captured in shades of different colors."
Into Tibet 2020,
A sneak peek at 2021 CMG Mid-Autumn Festival Gala,"It's time to admire the full moon, eat mooncakes and gather with families to watch the 2021 Mid-Autumn Festival Gala. Presented by China Media Group (CMG), the annual gala, also known as Qiuwan in Chinese, will be seen by a global audience on Tuesday night as it is simultaneously broadcast overseas for the first time. Since the gala was first broadcast live by China Central Television (CCTV) in 1991, it has become overwhelmingly popular among the Chinese diaspora and is now one of the most popular festive TV shows with hundreds of millions of viewers worldwide.

One of China's major traditional festivals, the Mid-Autumn Festival, falling on the 15th day of the eighth lunar month, arrives this year on September 21. The gala will be broadcast at 8:00 p.m. (BJT) on CCTV-1, CCTV-3, CCTV-4 and multiple digital platforms. Here is a sneak peek at highlights of this grandiose show before the curtain rises, and stay tuned to CGTN to experience the festive atmosphere.

A tribute to stars

This year's gala was recorded earlier this month in Xichang, capital of the Liangshan Yi Autonomous Prefecture in southwest China's Sichuan Province and home to the Xichang Satellite Launch Center, and presented on a 360-degree stage, the largest of its kind in the show's history. The main stage was inspired by the Big Dipper, a constellation of the seven brightest stars of the larger constellation Ursa Major, and China's own global navigation satellite system, BeiDou, named after the Big Dipper asterism, symbolizing best wishes for happiness, reunion, companionship and coexistence. Featuring space elements, it will spotlight people who have devoted themselves to the development of China's aerospace industry. Singer Zhou Shen will perform a song about stars to pay tribute to industry heroes.

A fusion of modernity and tradition

As some traditional images, such as the bright moon shining over the sea, are set on the stage, the 2021 gala will offer a blend of traditional elements and advanced technologies, showcasing a panoramic picture of Chinese culture and history. The gala, divided into three chapters and following a time-travel narrative, will take audiences back thousands of years to the ancient Chinese empire during the Tang Dynasty (618-907) and also present a modern city of cutting-edge techniques. Advanced technologies, such as AR, will be featured to create an immersive experience for viewers, while VR and AI is also being employed to bring a visual feast to the audience.

A scene from the 2021 CMG Mid-Autumn Festival Gala. /CMG A scene from the 2021 CMG Mid-Autumn Festival Gala. /CMG

The gala will highlight Chinese elements, ethnic characteristics, regional culture and different civilizations of the world, featuring various performances including dance and symphony, according to the program list released over the weekend. Celebrities and icons in different industries from all over China will present special collaborations, performing a series of popular and classic songs to celebrate the Moon Festival and share dreams, hopes and prayers. For instance, actors Jing Boran and Liu Shishi will sing the hit song ""Wishing We Last Forever,"" while actor Du Jiang and livestream influencer Weiya will perform ""A Night with Blooming Flowers and a Full Moon.""

A scene from the 2021 CMG Mid-Autumn Festival Gala. /CMG A scene from the 2021 CMG Mid-Autumn Festival Gala. /CMG A scene from the 2021 CMG Mid-Autumn Festival Gala. /CMG A scene from the 2021 CMG Mid-Autumn Festival Gala. /CMG A scene from the 2021 CMG Mid-Autumn Festival Gala. /CMG A scene from the 2021 CMG Mid-Autumn Festival Gala. /CMG

Viewers from all around the world will see the beautiful natural scenery of Liangshan and the cultural landscape of the Yi ethnic group, while folk songs passed down through generations and new adaptations will be showcased to present both the old and new Yi spirit. A variety of dance styles, including Chinese classical dance, ethnic minority folk dances and contemporary dance, will also be presented against computer-generated stage effects, offering the audience an audiovisual feast."
What other dishes are there besides mooncakes in Mid-Autumn Festival?,"As the Mid-Autumn Festival is around the corner, people across the country are looking forward to reuniting with their families and friends on this traditional festival. Apart from the most iconic mooncakes, people will also partake in osmanthus cakes, crabs, pomegranates, osmanthus wine, and other time-honored delicacies together, all of which convey auspicious meaning and contribute to the festival's rich cultural significance.



Mooncakes, the bakery product has various rich fillings, including yolk, pineapple, durian, chocolate, green tea and cream cheese. The round shape of mooncakes not only symbolizes the moon but also completeness, fulfillment, and perfection.

The round shape of mooncakes not only symbolizes the moon but also completeness, fulfillment, and perfection. /CGTN The round shape of mooncakes not only symbolizes the moon but also completeness, fulfillment, and perfection. /CGTN

Celebratory delicacies of Mid-Autumn Festival

Osmanthus flowers bloom around the Mid-Autumn Festival and it has a lingering aroma, many festive delicacies use it as an ingredient. When you blend Osmanthus flowers, pure rice wine, and sugar, pack the wine, then leave it in the shade for two months, you can enjoy a cup of sweet-scented osmanthus wine. Osmanthus Cake is another delicacy uses the seasonal flowers as a main ingredient.

Sweet-scented osmanthus wine is popular during the Mid-Autumn Festival. /CGTN Sweet-scented osmanthus wine is popular during the Mid-Autumn Festival. /CGTN

Osmanthus Cake is a delicacy uses osmanthus flowers as a main ingredient. /CGTN Osmanthus Cake is a delicacy uses osmanthus flowers as a main ingredient. /CGTN

Dating back to the Han Dynasty (202BC -220 AD), harvested around the Mid-Autumn Festival annual, pomegranates are one of the sacrifices of worshipping the moon to pray for reunion and auspiciousness. It is also one of the most common fruits on people's reunion table during the Mid-Autumn Festival.

One of the most common fruits on people's reunion table during the Mid-Autumn Festival is Pomegranates. /CGTN One of the most common fruits on people's reunion table during the Mid-Autumn Festival is Pomegranates. /CGTN

The custom of eating crabs at the festival is also a time-honored tradition in China. There is an old saying: ""Autumn wind, crab feet itch; Chrysanthemums bloom and then delicious crabs arrive,"" which signifies that the Mid-Autumn Festival is the best time to enjoy crabs. In mandarin, ""crab"" has a homophone for the word ""Xie,"" which expresses the meaning of thanks. So sending crabs to relatives and friends as a gift is to express Chinese people's gratitude and heart.

Mid-Autumn Festival is regarded as the best time to enjoy crabs. /CGTN Mid-Autumn Festival is regarded as the best time to enjoy crabs. /CGTN

The festival around the world

Mid-Autumn Festival in China originated from old moon worshipping tradition from ancient times, it has at least over 3,000 years history. The festival has been included in China's first national intangible cultural heritage list on May 20th, 2006, and has been a statutory holiday since 2008.



Not just in China, a large number of Chinese emigrants who live in foreign lands also celebrate the festival to express and cherish their thoughts about home and loved ones.



Apart from aforementioned Chinese food, the Chinese emigrants also have different ways to celebrate the festival in their communities. In the Australian city of Sydney, thematic cocktail parties were held as a part of the celebration. ""The party was special, with local people and us Chinese sharing moon cakes, and Chinese colleagues performing traditional instruction zither and urhheen,"" said Bian Jun, the president of Sydney Shanghai Chamber of Commerce.



The atmosphere of the Mid-Autumn Festival around the world is strengthened every year, which reflects Chinese tradition and the influence of Chinese culture worldwide.

(Images designed by Li Wenyi)"
