,Summary,Text
1134,The Agenda with Stephen Cole,"As part of CGTN's continuing focus on poverty alleviation, this week on The Agenda with Stephen Cole we look at empowering women.

Women are still more likely than men to live in poverty. They're more likely to have to live outside the education system and outside the labor force and more likely to have to care for children and other family members.

The Covid pandemic has also disproportionately affected women – with one report suggesting it has delayed the closure of the gender gap worldwide by an entire generation.

So, what can be done to empower women, give them truly equal opportunities and help the millions of them living in poverty to improve their lives?"
1135,La Palma volcano: More intense eruptions and more evacuations,"Further eruptions of the La Palma volcano on the Spanish Canary Islands have forced more evacuations and flight cancellations.

The volcanic activity in the Cumbre Vieja region has increased since the first eruptions on Sunday, and a new “vent” or opening has been spotted on the mountain.

Lava and “pyroclastic” material have continued to threaten local communities, and the National Guard have evacuated around 1,300 more people from Tajuya, Tacande de Abajo and Tacande de Arriba.

And three airlines (Iberia, Binter and Canaryfly) have suspended flights to La Palma - not to be confused with Las Palmas, the city on Gran Canaria which is a tourist hotspot."
1136,Prada hosts first live runway since 2020: COVID-19 Daily Bulletin,"TOP HEADLINES

• Milan fashion week has entered its fourth day, as thousands of environmental activists protested the event, some questioning if the industry has made any real changes to address its environmental impact. For some brands, including Prada, this fashion week marked the first time they have hosted a live runway show since the pandemic began. Attendees had to wear a mask, social distance and have a health pass to watch the shows.

• For the first time since 2019, the world's top contemporary art fair, Art Basel, is opening its doors to the public in Switzerland. This year's fair focuses on the political and social upheavals that rocked the world during the pandemic, including artwork focusing on Black Lives Matter and police brutality.

• The UK could announce new temporary visas for truck drivers after a shortage of workers caused partly by Brexit and the pandemic resulted in fuel rationing. According to UK based newspapers, the government could allow around 5,000 drivers to work in the country on a short-term basis after retailers demanded a similar move months ago. However, this figure falls short of the 100,000 drivers that the Road Haulage Association says the UK needs.

• Fully vaccinated travellers entering Scotland from non-red list countries will no longer be required to take a test before flying. Scotland also plans to align itself with the UK's post-arrival testing regime, which has not been finalized.

• Israeli officials claim that the U.S. decision to give booster jabs to some people supports Israel's aggressive push to give the third dose to its citizens over 12 years old. This is despite the World Health Organization's call to halt booster programs until the end of the year so that poorer countries could vaccinate their populations.

• French president Emmanuel Macron and the head of the World Health Organization (WHO) will meet on Monday to mark the opening of the WHO Academy's campus. The academy in Lyon aims to teach up to 10 million health care workers by 2023 so that more countries can reach health-related targets - a necessity brought to light by the pandemic.

• At least 4,725,638 people have died because of the pandemic since December 2019, according to AFP. The U.S. had the most deaths, with Brazil, India, Mexico and Russia following it. However, the WHO estimated that the number of global deaths related to the virus is actually two to three times larger."
1137,Farewell Mutti: Germany readies for post-Merkel election,"02:45

German voters will head to the polls on Sunday for a national election that will reshuffle power in the Bundestag (parliament) and leave the country with a new Chancellor. For the first time in 16 years, Angela Merkel isn't standing in the election and will retire once a new government is formed. A contentious campaign to replace her has been underway for much of the summer, after a quiet spring that was marked by COVID-19 lockdown restrictions.

German Chancellor Angela Merkel and Christian Democratic Union (CDU) party leader and candidate for chancellor, Armin Laschet, attend a rally, in Aachen, Germany, September 25, 2021. Reuters/Wolfgang Rattay German Chancellor Angela Merkel and Christian Democratic Union (CDU) party leader and candidate for chancellor, Armin Laschet, attend a rally, in Aachen, Germany, September 25, 2021. Reuters/Wolfgang Rattay

Who's vying to be Germany's next Chancellor? Polling suggests that three candidates have a shot at becoming the nation's next Chancellor. Leading in the polls is Olaf Scholz of the left-leaning Social Democrats (SPD). Scholz is regarded as a dry, but stable leader of Germany's Finance Ministry. He's cast himself as Merkel's heir on the campaign trail. However, that title is up for debate. The Chancellor has not endorsed him and has publicly campaigned with her own party, the Christian Democrats (CDU). It has put forward North-Rhine Westphalia premier and party head Armin Laschet to lead the next Government, if victorious. Laschet has struggled to command the same likability with voters as Merkel has. Polling third place after weeks at the top in Spring 2021 is the Greens. For the first time in the party's history, it has named a candidate for Chancellorship, party co-leader Annalena Baerbock.

Olaf Scholz, Germany's Social Democratic Party candidate for general election, smiles during the final election campaign event of party, in Cologne, Germany, September 24, 2021. Martin Meissner/Pool via Reuters Olaf Scholz, Germany's Social Democratic Party candidate for general election, smiles during the final election campaign event of party, in Cologne, Germany, September 24, 2021. Martin Meissner/Pool via Reuters

What do the polls say? It's increasingly looking like SPD candidate Olaf Scholz will be at the head of Germany's next government, according to polls published over the last few weeks. The latest polling from Friday has kept him ahead of Armin Laschet, though the CDU has seen a slight uptick in support. However, some surveys suggest that as many as four in ten voters are still undecided which would be more than enough to erase any comfortable early polling lead.

Co-leader of Germany's Alliance 90/The Greens party, Annalena Baerbock, speaks during a final rally ahead of the general election, in Duesseldorf, Germany, September 24, 2021. Reuters/Leon Kuegeler Co-leader of Germany's Alliance 90/The Greens party, Annalena Baerbock, speaks during a final rally ahead of the general election, in Duesseldorf, Germany, September 24, 2021. Reuters/Leon Kuegeler"
1138,"UK gas stations close amid driver shortage, prompting fuel fears","Exxon-Mobil's Esso said some of its filling stations that operate alongside Tesco supermarket stores were affected too.

Things seemed to operating normally at a BP petrol station in west London visited by CGTN Europe on Friday. However, the firm said up to 100 of its 1,200 UK forecourts were missing at least one grade of fuel – forcing a handful to close.

The UK government has vowed to ""move heaven and earth"" to resolve a lack of delivery drivers that is forcing some petrol stations to close, with the prime minister reportedly asking minister to relax visa rules. Supply chain disruption and chronic labor shortages have prompted the UK's central bank to warn of spiralling living costs this winter.

But Transport Minister Grant Shapps insisted there is no shortage of fuel supplies, and that the lack of truckers is due to the bottleneck in approving new drivers – with some 40,000 unable to take their tests, as centers are closed because of the pandemic.

""What we're doing is moving heaven and earth,"" the minister claimed.

""I have already introduced legislation, which has helped double the number of available testing slots from pre-pandemic levels,"" said Shapps. ""So we're getting those drivers tested and through and they're joining the marketplace. And of course, they're doing so on significantly better salaries as well. So wages have gone up and that's bringing more drivers back into the market again,"" he added.

Industry group the Road Haulage Association, has accused ministers of ""government by inertia"" – saying the situation had been allowed to get gradually worse before action was taken.

Media reports suggest the Prime Minister Boris Johnson has given the go-ahead for UK immigration rules to be relaxed to allow more foreign truck drivers into the country to ease shortages at petrol stations and other supply chains which have been hit by Brexit.

But with the wholesale gas price hike sending energy companies under, affecting more than a million consumers, and inflation set to soar four percent, according to the Bank of England, there’s a sense Britain’s economic recovery from the Covid pandemic could soon be running on empty.

Video editor: Murray Job"
1139,"UK suffers from racism, hate speech and xenophobia, UN Council told","The UK government is presiding over a deteriorating human situation at home, while interfering in the affairs of other sovereign nations abroad, according to a statement delivered at the UN Human Rights Council.

Presented by China's representative Jiang Duan on behalf of a group of countries, the statement says that the UK is ""turning a blind eye to its human rights violations and [has] indulged in the mentality of colonialism.""

Furthermore, ""coercive measures"" backed by the UK have infringed the human rights of citizens of other countries, it is claimed."
1140,'Stop using human rights to justify meddling in China's affairs',"Human rights should not be used as a pretext for attacks on China, a group of 65 countries has told the United Nations Human Rights Council (UNHRC).

The group of countries, who were not named in the statement, said that criticism of China's actions in Hong Kong, Tibet and Xinjiang amounted to unacceptable interference in a sovereign country's internal affairs.

""We oppose politicization of human rights and double standards. We also oppose unfounded allegations against China out of political motivation and based on disinformation, and interference in China's internal affairs under the pretext of human rights,"" read a statement delivered by Pakistan's representative at the Council, on behalf of all the signatories.

READ MORE

Germany Decides

Paris's musical Mid-Autumn Festival

WATCH: The world record-breaking dogs

Countries including the U.S., Australia and the UK have been taking an increasingly hard line towards China, imposing sanctions on organizations and officials accused of facilitating human rights abuses in the Xinjiang region. China says the measures are unjustified and that claims of forced labor, arbitrary imprisonment and even genocide of the ethnic Uygur people are based on disinformation.

Instead, policies in the region, as well as reforms to the electoral system in Hong Kong, are designed to protect the security and economic livelihood of the people, Beijing says.

The group of 65 UN members said they supported China's position.

""We maintain that all parties should ... respect the right of the people of each state to choose independently the path for human rights development in accordance with their national conditions, and treat all human rights with the same emphasis,"" read the statement."
1141,'Fridays for Future' climate protests return across Europe,"02:20

Protesters hit the streets in cities across Europe and around the world on Friday, demanding governments do more to fight the climate crisis. Some of the largest demonstrations were in Germany, where citizens will head to the polls in elections this weekend. Environmental activist Simona Haselier was downbeat about the chances of impacting votes in Sunday's election but said it was an important time to grab people's attention. ""I think it's especially important to send a signal today before the federal election and I hope that especially many people in the older generation will think again about how they will vote when they see how many young people are worried about the future,"" Haselier told the Associated Press.

In Berlin, protestors marched through the streets carrying a banner with the slogan: ""Fight for Climate Justice."" Another demonstrator held up a pink sign that simply read: ""This world is on fire.""

A protest sign in Berlin. / REUTERS A protest sign in Berlin. / REUTERS

Swedish climate activist Greta Thunberg, who started the ""Fridays for Future"" movement, also appeared at the rally in the German capital. ""If there's one other thing that this pandemic has shown us, it is that the climate crisis has never once been treated like an emergency. It is clearer than ever that no political party is doing close to enough,"" she told the crowd.

Climate activist Greta Thunberg in Berlin. / REUTERS Climate activist Greta Thunberg in Berlin. / REUTERS

#UprootTheSystem



The Fridays for Future group recorded more than 1,500 different events on its website, with the majority in Europe. Among many others, there were also gatherings in Vienna and Warsaw.



Meanwhile, events were registered in Buenos Aires in Argentina, Cape Town in South Africa, Mumbai in India and Sydney in Australia. The wave of global protests was coordinated on social media through the hashtag: #UprootTheSystem.



""Fridays for Future"" event in Berlin / REUTERS ""Fridays for Future"" event in Berlin / REUTERS

Climate pledges in New York The ""Fridays for Future"" movement was reignited after a week of climate action promises from world leaders at the United Nations General Assembly in New York. The annual gathering of world leaders took place before the COP26 UN climate change conference in Glasgow, UK. ""We must get serious and we must act fast...COVID-19 and the climate crisis have exposed profound fragilities as societies and as a planet. Yet, instead of humility in the face of these epic challenges, we see hubris. Instead of the path of solidarity, we are on a dead-end to destruction,"" said United Nations Secretary-General Antonio Guterres on Tuesday.



Source(s): AP"
1142,Which of Europe's soccer players earn the most?,"CLICK THE ARROWS ON THE PICTURES TO SCROLL THROUGH THE TOP FIVE

Many soccer players in Europe earn millions each year, and Forbes has tracked their incomes to rank the highest earners.

Not only does the table account for the salaries the players earn from the clubs they play for - it also counts how much cash the sportsmen (and they are all men) earn from other sponsors.

These are called ""endorsements"" and come from companies that want the popular players to be seen wearing or using their products.

Some endorsements are directly related to their work, like the boots or accessories they play with. But others sources of revenue include modeling and social media paid-for posts.

According to magazine France Football the highest paid female soccer player in 2020 was Carli Lloyd. The U.S. international, who plays her club soccer at Gotham FC in New York ,is paid a salary of $518,000 a year .

That is almost a third of what Ronaldo, Messi and Neymar make in a single week."
1143,Climate activists block UK's busiest port in Dover,"Police officers detained protesters of the group ""Insulate Britain"" at the entrance to the Port of Dover./Henry Nicholls/Reuters Police officers detained protesters of the group ""Insulate Britain"" at the entrance to the Port of Dover./Henry Nicholls/Reuters

More than 40 climate protesters blocked access to the port of Dover, the busiest port in the UK and Europe, demanding the government acts to insulate all British homes by 2030 and tackles fuel poverty. The action, organized by Insulate Britain, blocked entry to the western and eastern docks of Dover but the port remained open and operative, said officials.

""Please allow extra time for your journey and check with your ferry operator for updates. The port remains open,"" said the Port of Dover.

Insulate Britain apologized for causing disruption but said it seemed ""the only way to keep the issue of insulation on the agenda and to draw attention to how poorly insulated homes are causing ill-health, misery and early death for many thousands of people."" ""We are blocking Dover this morning to highlight that fuel poverty is killing people in Dover and across the UK,"" a spokesperson said. ""We must tell the truth about the urgent horror of the Climate Emergency. Change at the necessary speed and scale requires economic disruption. We wish it wasn't true, but it is."" Police made at least 17 arrests and said they were ""dealing with protest activity"" and ""working with partner agencies to minimize delays"".

Climate protests also took place in UK's capital on Friday, with activists marching through Westminster as part of a global 'Fridays for Future' event. /AP Photo/David Cliff Climate protests also took place in UK's capital on Friday, with activists marching through Westminster as part of a global 'Fridays for Future' event. /AP Photo/David Cliff

Previous protests by the group have involved activists blocking the busy M25 motorway around London five times since mid-September, an act of civil disobedience that led to more than 300 arrests. On Wednesday, the UK government won a court injunction over the protests on the M25, which meant that activists could be imprisoned if they blocked the UK's busiest motorway.

Source(s): AFP"
1144,Is the Germany-China car market increasing cooperation or competition?,"""China is the biggest automotive market in the world and it's the most important market for us,"" he added.

""Chinese customers are tech-savvy, they're smart, they know what they want. It's also a bellwether for us where technology is going,"" Daimler's CEO Ola Källenius told CGTN Europe.

In 2020, more than one in three German-made cars were sold in China. Brands like BMW and Mercedes are increasingly focused on appealing to China's growing population of affluent consumers.

China has become a lifeline for Germany's top automakers as profits in Europe have slumped. During the first wave of the COVID-19 pandemic, third-quarter sales from China offset major losses in Europe and North America.

The auto industry is at the heart of the German economy - but in recent years, brands like BMW and Volkswagen have become more focused on sales in Shanghai than Stuttgart.

However, success abroad has been met with ambivalence at home. Some economists fear the current relationship is not sustainable in the long term.

That's because China is also investing billions into homemade, high-tech car brands to compete. Any dip in the two nations' trading ties could put German automakers at risk, market analysts said.

""At the very top level of the management, I think there's much concern about the role China plays and the future competitors that will come from China producing [its own] cars,"" said Juergen Pieper, an auto industry analyst at Bankhaus Metzler.

""This is not very important in the next two or three years, but it's very important for the second half of the decade,"" he explained.

Chancellor Angela Merkel pushed to strengthen German-Chinese business cooperation during her four terms as Chancellor. She told lawmakers that common trade and investment commitments would help align the two nations.

Her state visits often included tours of the dozens of factories for German brands like Volkswagen operating across China. In her last year in office, Merkel changed her tune and urged German companies to look to other markets to minimize risk.

""Around three-quarters of our Asia exports go to East Asia. Half to China alone. In view of this, there are still many opportunities for diversification and the development of additional markets throughout the Asia-Pacific region,"" Merkel said at a business conference in October 2020.

The future of auto industry cooperation will depend significantly on the composition of the next government in Germany.

Left-leaning parties have called for a reassessment of Germany's ties with China, with some threatening to put business deals on the back burner while other sensitive issues are discussed."
1145,"New UK law bans restaurants, cafes and pubs from keeping staff tips","Diners enjoy their drinks as they sit at tables outside a restaurant in London in August 2020. /Tolga Akmen/AFP

Diners enjoy their drinks as they sit at tables outside a restaurant in London in August 2020. /Tolga Akmen/AFP

""This will ensure customers know tips are going in full to workers and not businesses, ensuring workers receive a fair day's pay for a fair day's work,"" said the UK's Department for Business, Energy & Industrial Strategy.

Restaurant, cafe and pub owners in the UK will be banned by law from keeping customer tips and not passing them on to their employees under new legislation unveiled by the government on Friday.

Cash tips are already legally the property of staff, but the same level of legal protection did not cover tips made by bank card.

The ban was first proposed five years ago, but has recently become more urgent after reports of some companies keeping part or all of the discretionary service charge intended to replace tips as card payments disrupted traditional tipping practices.

Conservative MP and Labor Markets Minister Paul Scully said on Tuesday that, ""Unfortunately, some companies choose to withhold cash from hardworking staff who have been tipped by customers as a reward for good service.

""Our plans will make this illegal and ensure tips will go to those who worked for it,"" he added.

Workers will welcome the new law after the hospitality sector was hit hard by the pandemic. According to the Department for Business, Energy & Industrial Strategy, ""the move is set to help around 2 million people working in one of the 190,000 businesses across the hospitality, leisure and services sectors, where tipping is commonplace and can make up a large part of their income.""

Breaching of the rule might lead to compensation for the worker and the paying of a fine for bosses, but it relies on employees taking the issue to an employment tribunal.

Under the new legislation, the government also plans to introduce a code of practice, which should set out exactly how tips are to be distributed fairly among staff."
1146,"Technology threatens to 'worsen inequality,' says UNESCO chair","While technological innovation could play a key role in reversing the setbacks suffered in the recent past, it also threatens to widen existing divides.

The number of people living in extreme poverty fell from 36 percent in 1990, to 10 percent in 2015. But global progress has suffered a setback. The fallout from the pandemic has compounded the impact of conflict and climate change, which were already slowing progress.

""What we have to do is have creative ways of innovating in the interests of the poorest, of the most marginalized. And digital tech can do that. But we have to ensure that the harms and the challenges it faces, not least to our environment, are mitigated,"" Tim Unwin, UNESCO chair in Information and Communications Technology for Development, told CGTN's Stephen Cole.

Delivering digital connectivity to everyone across the world will be essential to tackling many of the challenges faced by societies, said Mari Pangestu, managing director of development policy and partnerships at the World Bank.

""We are facing a twin crisis, which is the development challenges that were accentuated by COVID-19 - whether it's poverty increasing by a hundred million or the increased inequality that we expect to happen. And we have the climate crisis. We have to make sure that there is digital connectivity, both research and development,"" she said.

👉 Join the discussion on our #InnovationActionChange facebook page

WATCH: Innovation, action change series on YouTube

Cover image: Sunday Alamba/AP/"
1147,"Moon cakes, a climbing record, monkey magic and carbon-cutting pledges","00:24

Green pledge on coal-fired power stations China is already aiming to hit peak CO2 emissions before 2030 and achieve carbon neutrality before 2060, but President Xi Jinping announced a further package of environmental initiatives in an address to the United Nations General Assembly. The key pledge was that China would step up support for other developing countries in promoting green and low-carbon energy and will not build new coal-fired power projects abroad.

Mid-Autumn Festival

This was the colorful scene in Shenzhen for the festival. /VCG This was the colorful scene in Shenzhen for the festival. /VCG

00:27

Breakthrough in quantum communication Chinese researchers have made a crucial breakthrough, boosting the future development of secure satellite-based long-distance and global quantum communication networks. The research team constructed a 15-user quantum secure direct communication network that enabled the direct transmission of confidential information among the users connected by the network for the first time.

World record for Chinese climber In a sport whose popularity continues to reach new heights, Chinese climber Niu Di won gold in the women's speed climbing final at China's 14th National Games in Xi'an. Niu's result of 6.74 seconds surpassed the current world record of 6.84 seconds set by Poland's Aleksandra Miroslaw at the Tokyo Olympics.

Huawei's Harmony OS helps smart mining Huawei has said before that the Harmony operating system, designed to replace the Android mobile operating system, was initially created for the internet of things rather than just smartphones. And it has demonstrated that by linking up with a mining company, with a live demonstration in which a China Energy manager used his smartphone to control several inspection robots in a mine remotely.

He Haitao, deputy manager of China Energy's Shendong Coal Group, presents the remote underground inspection of HarmonyOS for mining. /Huawei He Haitao, deputy manager of China Energy's Shendong Coal Group, presents the remote underground inspection of HarmonyOS for mining. /Huawei

The Japanese war orphans adopted in China It is thought that as many as 4,000 Japanese children were adopted by Chinese parents after Japan surrendered at the end of World War II. This is the absorbing story of one 80-year-old who didn't find out her biological parents were Japanese until she was nearly 60 years old. And it also looks at how some of the adopted orphans eventually returned to Japan and have done their bit to build better relations and understanding between the two countries.

Rare seeds collected from sinkholes Three months ago, in the sinkholes in Mengzi City in southwest China's Yunnan Province, researchers from the Kunming Institute of Botany found two rare plant species, Petrocosmea grandiflora and Elaeagnus bambusetorum, which had been unseen for more than 100 years. The first time around, they collected specimens of the flowers and leaves, but now they're heading back to collect the seeds.

It's a spectacular location for the plant species. /CGTN It's a spectacular location for the plant species. /CGTN

Bustling ancient town in Shanghai Nanxiang Ancient Town in Shanghai's Jiading District is a small town with a long history. One of the four famous historical and cultural towns in Shanghai, it goes back at least 1,500 years. Today, the ancient town is a popular tourist destination in Shanghai. Check out this video to explore the bustling town.

Celebrities get tax warning As China's Ministry of Culture pushes for stricter regulation of the entertainment industry, the taxation authorities are also cracking down on celebrities, including actors and social media influencers, suspected to be evading taxes."
1148,"WHO backs Regeneron antibody treatment, UK male life expectancy drops","A man holding a Swiss flag reading ""Freedom""on his shoulders walks past riot police next to the Swiss House of Parliament during unauthorized protests on Thursday in Bern. /Fabrice Coffrini/AFP

A man holding a Swiss flag reading ""Freedom""on his shoulders walks past riot police next to the Swiss House of Parliament during unauthorized protests on Thursday in Bern. /Fabrice Coffrini/AFP

TOP HEADLINES

• The World Health Organization (WHO) has recommended the use of Regeneron and Roche's antibody treatment, called Ronapreve or REGEN-COV in the U.S., for patients at high risk of hospitalization and severe illness. The antibody cocktail gained attention when used to treat former U.S. President Donald Trump's last year. It's currently under review by European authorities, while the UK gave it the green light last month and the U.S. has approved it for emergency use. The WHO also called for the company to lower the price of its antibody cocktail and make it available for everyone around the world equitably.

• The pandemic has caused male life expectancy in the UK to drop for the first time in 40 years. According to the Office for National Statistics, a boy born between 2018 and 2020 is expected to live until 79 years old, a drop from the previously estimated 79.2.

• Hundreds took part in unauthorized protests against restrictions, vaccinations and COVID-19 certificates in Bern, Switzerland, on Thursday evening. Similar protests last week led to violent clashes with the police. After a rise in cases in the summer, Switzerland has imposed the mandatory use of COVID-19 certificates, which have been required from September 13 for Swiss residents to access indoor spaces like restaurants, bars and museums.

• Novavax has applied to the WHO to have its vaccine approved for emergency use. The approval could clear the way for the shipping of millions of doses to many poorer countries.

• Portugal will lift all remaining restrictions on October 1, as announced by Prime Minister Antonio Costa on Thursday. That means restaurants and cultural venues will be allowed to welcome guests at full capacity.

• The EU's drug watchdog said it will decide in early October whether to approve boosters of the Pfizer vaccine for those aged over 16. The European Medicines Agency said they will take a decision about administering booster jabs of Pfizer and Moderna for at-risk people and the elderly in the same period.

• A 12-year-old boy in the Netherlands was granted the right to receive the vaccine, which he needed to visit his dying grandmother, despite his father's objections. Children aged 12 to 17 in the Netherlands can choose to be vaccinated but need permission from both parents. In case the parents don't agree, Dutch law says judges can make decisions in the best interests of the children.

• Nobel Prize winners in science and literature will receive their awards in their home countries rather than Sweden because of the uncertainty still posed by the pandemic, organizers announced on Thursday.

• The U.S. Centers for Disease Control has overruled its own health experts' advice, recommending the use of booster jabs not only for Americans aged 65 and older and some adults with underlying medical conditions, but also for workers in high-risk settings.

• Fewer than 4 percent of people in Africa have been fully vaccinated, with most of the doses available in the world having gone to only 10 rich countries. ""It is an indictment on humanity that more than 82 percent of the world's vaccine doses have been acquired by wealthy countries, while less than 1 percent has gone to low-income countries,"" said South Africa's president Cyril Ramaphosa."
1149,Italy releases separatist Carles Puigdemont as Spain demands 'justice',"Former Catalan President Carles Puigdemont was released from prison but will have to return to Sardinia where a court will hear pleas for an extradition request./Gianni Biddau/AFP/

Former Catalan President Carles Puigdemont was released from prison but will have to return to Sardinia where a court will hear pleas for an extradition request./Gianni Biddau/AFP/

Former Catalan President Carles Puidgemont ""must be brought to justice,"" Spanish Prime Minister Pedro Sanchez said on Friday, as the the exiled politician was released by Italian police in Sardinia.

The 58-year-old's lawyer confirmed, he was free to leave the island but would return for a hearing in October, after spending a night behind bars.

Earlier on Friday thousands had gathered outside the Italian embassy in Barcelona to protest over the arrest of Puigdemont, but Sanchez said the Catalan leader must ""stand trial,"" adding that the Spanish government ""has respect for all judicial proceedings whether opened in Spain, in Europe or in this case in Italy, and will comply with any judicial decisions that may be taken.""

READ MORE:

Germany Decides

Paris's musical Mid-Autumn Festival

WATCH: The world record-breaking dogs

Puigdemont appeared in court after authorities in Sardinia detained him following his decision to flee Spain four years ago, where he is wanted for sedition and for organizing an illegal independence referendum.

Puigdemont has been in exile in Brussels since 2017 where he serves as an MEP at the European Parliament, and was promised immunity from extradition."
1150,"Wang Yi: Vaccine equity, climate, poverty are China's top priorities","Wang Yi met with the UN's Mohamed Shahid as China celebrates the 50th anniversary of its seat on General Assembly. /Kith Serey/AP

Wang Yi met with the UN's Mohamed Shahid as China celebrates the 50th anniversary of its seat on General Assembly. /Kith Serey/AP

China's Foreign Minister Wang Yi has told the United Nations that ensuring equitable distribution of vaccines, adhering to the Paris Agreement on climate change and tackling poverty are the country's top priorities.

In a statement released by China's Ministry of Foreign affairs following a meeting with Mohamed Shahid, president of the UN General Assembly, Wang called on the member countries and regions to play a more active role in ""the building of a community with a shared future for mankind,"" especially for smaller and poorer nations.

As China and the U.S. both pledged this week to donate funds and vaccines to assist those countries that have struggled to purchase enough doses to inoculate their populations, Wang told the UN: ""China will play a bigger role in promoting international cooperation against COVID-19 and promoting equitable vaccine distribution.""

READ MORE:

German election 2021: Special coverage

WHO: Air pollution deadlier than thought

Dolphin cull to be reviewed after outcry

He also warned against politicizing the origins of the virus and said China would strongly oppose any attempts to do so.

The second point he made to Shahid was that the UN should be a united front on climate change, urging countries to respect the Paris Agreement and find common ground to share the responsibility of tackling this global crisis.

Wang went on to remind Shahid that although China has been successful in tackling poverty in recent decades, it should still hold a ""prominent position"" in global macro-economic thinking.

""China expects more countries to support and join the Global Development Initiative and inject new impetus into the implementation of the 2030 Agenda for Sustainable Development,"" said Wang."
1151,Ukraine adopts law limiting oligarchs after assassination attempt,"Ukraine's parliament has passed a law intended to reduce the influence of oligarchs in the country, a day after an attack on a top presidential aide that officials say could have potentially been retaliation for the legislation. Gunmen opened fire on a car carrying President Volodymyr Zelensky's senior aide Sergey Shefir on Wednesday. The new law aims to ""prevent risks to national security linked to the excessive influence"" of oligarchs, according to Ukraine's parliament website.

Zelensky put forward the legislation earlier this year when he announced a new campaign to limit the authority of the country's oligarchs, accusing them of exerting too much control over the economy. ""Ukraine is open to big business but not to the influence of oligarchs on officials, politicians and the media,"" said Zelensky on Twitter. ""Today we took one more step to get rid of that.""

The new law means that individuals recognized as oligarchs will be prohibited from financing political parties and participating in the privatization of large companies. An individual may be classified as an oligarch if three out of four criteria stated by the law are met. These are: beneficial ownership of a monopoly company, significant influence over the media, participation in political activities and a fortune of more than $87 million. The law also means officials must declare any ""contact"" with the person designated as the oligarch.

Police examine the car after an apparent assassination attempt against presidential aide Sergey Shefir. /Brendan Hoffman/Getty Images via CFP Police examine the car after an apparent assassination attempt against presidential aide Sergey Shefir. /Brendan Hoffman/Getty Images via CFP

The legislation was passed in a second and final reading by 279 lawmakers out of a required minimum of 226. People such as Ukraine's richest man Rinat Akhmetov, powerful tycoon Igor Kolomoisky and former President Petro Poroshenko, who is an outspoken critic of Zelensky, could be targeted by the law. However, some analysts doubted the new law will be effective, suggesting the criteria for identifying oligarchs are too vague.

""I don't see how this [law] can in practice undermine the ability of oligarchs to influence the government,"" said Hlib Vyshlinsky, head of the Kyiv-based Centre for Economic Strategy, to AFP. He said the legislation was adopted ""as a card in negotiations to bargain with the oligarchs and not in order to destroy them.""

Ukrainian Presidential Adviser Sergey Shefir, who is believed to have been the target of the assassination attempt, was not harmed, but his driver was seriously injured. /People's Vision via CFP Ukrainian Presidential Adviser Sergey Shefir, who is believed to have been the target of the assassination attempt, was not harmed, but his driver was seriously injured. /People's Vision via CFP

The vote follows what officials have described as an assassination attempt on presidential aide Sergey Shefir, when more than 10 bullets hit his car during an attack near the village of Lisnyky, south of Kyiv. While Shefir escaped unharmed, his driver was ""seriously injured.""

Zelensky, who was on a visit in the U.S., promised a ""strong response"" to the attack on the 57-year-old former script writer and long-time associate of the president. Police have said they did not rule out the assassination attempt being politically motivated. On Wednesday, national police chief Igor Klymenko said Shefir may have been targeted as part of a bid to pressure Ukraine's top leadership or to destabilize ""the political situation in our country.""

Source(s): AFP"
1152,'Demographic crisis': Central European heads make anti-migration stand,"Political leaders from Central and Eastern European have signed a declaration against migration as Europe faces what they call a ""demographic crisis.""

The joint statement from close allies Hungary, Poland, Slovenia, Czechia and Serbia singles out migration as an issue rather than a solution to declining birth rates – and calls on the bloc to keep family policies under national jurisdiction.

It comes as Hungary and Poland face ongoing legal action from the European Union over anti-LGBT+ policies. The governments also share a similar anti-migration stance, with barbed wire fences being built on the border of Poland to stop migrants trying to cross from Belarus. Hungary built a fence on its southern border in 2015.

The conservative leaders met with speakers and academics as part of the fourth Budapest demographic summit on Thursday. The group shared similar concerns that migration is changing demographics on the continent and now they are planning to increase their countries' populations through birth rates rather than taking people in.

READ MORE

Germany Decides

Paris's musical Mid-Autumn Festival

WATCH: The world record-breaking dogs

Strategies were also shared that they hope will help cement nuclear families and Christian values at the center of government policies. One element several leaders commented on was giving tax breaks to newlyweds and young families – something Hungary says has led to more children being born.

Hungary's right-wing Prime Minister Viktor Orban set the tone for the two-day event, declaring his country vaccinated against ""woke"" thinking. He also defended Hungary's anti LGBT+ law that bans promotion and display of homosexuality and gender change to under-18s. The recent legislation has been widely condemned and criticized for conflating homosexuality with paedophilia."
